,country,year,population
194,Kiribati,2024,134518
195,Kiribati,2023,132530
196,Kuwait,2024,4934507
197,Kuwait,2023,4838782
198,Kyrgyzstan,2024,7186009
199,Kyrgyzstan,2023,7073516
200,Laos,2024,7769819
201,Laos,2023,7664993
202,Latvia,2024,1871871
203,Latvia,2023,1882396
204,Lebanon,2024,5805962
205,Lebanon,2023,5773493
206,Lesotho,2024,2337423
207,Lesotho,2023,2311472
208,Liberia,2024,5612817
209,Liberia,2023,5493031
210,Libya,2024,7381023
211,Libya,2023,7305659
212,Lithuania,2024,2859110
213,Lithuania,2023,2854099
214,Luxembourg,2024,673036
215,Luxembourg,2023,665098
216,Macao,2024,720262
217,Macao,2023,713912
218,Madagascar,2024,31964956
219,Madagascar,2023,31195932
220,Malawi,2024,21655286
221,Malawi,2023,21104482
222,Malaysia,2024,35557673
223,Malaysia,2023,35126298
224,Maldives,2024,527799
225,Maldives,2023,525994
226,Mali,2024,24478595
227,Mali,2023,23769127
228,Malta,2024,539607
229,Malta,2023,532956
230,Martinique,2024,343195
231,Martinique,2023,346002
232,Mauritania,2024,5169395
233,Mauritania,2023,5022441
234,Mauritius,2024,1271169
235,Mauritius,2023,1273588
236,Mexico,2024,130861007
237,Mexico,2023,129739759
238,Moldova,2024,3034961
239,Moldova,2023,3067070
240,Mongolia,2024,3475540
241,Mongolia,2023,3431932
242,Montenegro,2024,638479
243,Montenegro,2023,633552
244,Montserrat,2024,4389
245,Montserrat,2023,4420
246,Morocco,2024,38081173
247,Morocco,2023,37712505
248,Mozambique,2024,34631766
249,Mozambique,2023,33635160
250,Myanmar,2024,54500091
251,Myanmar,2023,54133798
252,Namibia,2024,3030131
253,Namibia,2023,2963095
254,Nauru,2024,11947
255,Nauru,2023,11875
256,Nepal,2024,29651054
257,Nepal,2023,29694614
258,Netherlands,2024,18228742
259,Netherlands,2023,18092524
260,New Caledonia,2024,292639
261,New Caledonia,2023,289870
262,New Zealand,2024,5213944
263,New Zealand,2023,5172836
264,Nicaragua,2024,6916140
265,Nicaragua,2023,6823613
266,Niger,2024,27032412
267,Niger,2023,26159867
268,Nigeria,2024,232679478
269,Nigeria,2023,227882945
270,Niue,2024,1819
271,Niue,2023,1817
272,North Korea,2024,26498823
273,North Korea,2023,26418204
274,North Macedonia,2024,1823009
275,North Macedonia,2023,1831802
276,Northern Mariana Islands,2024,44278
277,Northern Mariana Islands,2023,45143
278,Norway,2024,5576660
279,Norway,2023,5519167
280,Oman,2024,5281538
281,Oman,2023,5049269
282,Pakistan,2024,251269164
283,Pakistan,2023,247504495
284,Panama,2024,4515577
285,Panama,2023,4458759
286,Papua New Guinea,2024,10576502
287,Papua New Guinea,2023,10389635
288,Paraguay,2024,6929153
289,Paraguay,2023,6844146
290,Peru,2024,34217848
291,Peru,2023,33845617
292,Philippines,2024,115843670
293,Philippines,2023,114891199
294,Poland,2024,38539201
295,Poland,2023,38762844
296,Portugal,2024,10425292
297,Portugal,2023,10430738
298,Puerto Rico,2024,3242204
299,Puerto Rico,2023,3242023
300,Qatar,2024,3048423
301,Qatar,2023,2979082
302,Reunion,2024,878591
303,Reunion,2023,874883
304,Romania,2024,19015088
305,Romania,2023,19118479
306,Russia,2024,144820423
307,Russia,2023,145440500
308,Rwanda,2024,14256567
309,Rwanda,2023,13954471
310,Saint Helena,2024,5237
311,Saint Helena,2023,5289
312,Saint Lucia,2024,179744
313,Saint Lucia,2023,179285
314,Samoa,2024,218019
315,Samoa,2023,216663
316,Saudi Arabia,2024,33962757
317,Saudi Arabia,2023,33264292
318,Senegal,2024,18501984
319,Senegal,2023,18077573
320,Serbia,2024,6736216
321,Serbia,2023,6773201
322,Seychelles,2024,130418
323,Seychelles,2023,127951
324,Sierra Leone,2024,8642022
325,Sierra Leone,2023,8460512
326,Singapore,2024,5832387
327,Singapore,2023,5789090
328,Slovakia,2024,5506760
329,Slovakia,2023,5518055
330,Slovenia,2024,2118697
331,Slovenia,2023,2118396
332,Solomon Islands,2024,819198
333,Solomon Islands,2023,800005
334,Somalia,2024,19009151
335,Somalia,2023,18358615
336,South Africa,2024,64007187
337,South Africa,2023,63212384
338,South Korea,2024,51717590
339,South Korea,2023,51748739
340,South Sudan,2024,11943408
341,South Sudan,2023,11483374
342,Spain,2024,47910526
343,Spain,2023,47911579
344,Sri Lanka,2024,23103565
345,Sri Lanka,2023,22971617
346,Sudan,2024,50448963
347,Sudan,2023,50042791
348,Suriname,2024,634431
349,Suriname,2023,628886
350,Sweden,2024,10606999
351,Sweden,2023,10551494
352,Switzerland,2024,8921981
353,Switzerland,2023,8870561
354,Syria,2024,24672760
355,Syria,2023,23594623
356,Taiwan,2024,23213962
357,Taiwan,2023,23317145
358,Tajikistan,2024,10590927
359,Tajikistan,2023,10389799
360,Tanzania,2024,68560157
361,Tanzania,2023,66617606
362,Thailand,2024,71668011
363,Thailand,2023,71702435
364,Togo,2024,9515236
365,Togo,2023,9304337
366,Tonga,2024,104175
367,Tonga,2023,104597
368,Trinidad and Tobago,2024,1507782
369,Trinidad and Tobago,2023,1502932
370,Tunisia,2024,12277109
371,Tunisia,2023,12200431
372,Turkey,2024,87473805
373,Turkey,2023,87270501
374,Turkmenistan,2024,7494498
375,Turkmenistan,2023,7364438
376,Tuvalu,2024,9646
377,Tuvalu,2023,9816
378,Uganda,2024,50015092
379,Uganda,2023,48656601
380,Ukraine,2024,37860221
381,Ukraine,2023,37732836
382,United Arab Emirates,2024,11027129
383,United Arab Emirates,2023,10642081
384,United Kingdom,2024,69138192
385,United Kingdom,2023,68682962
386,United States,2024,345426571
387,United States,2023,343477335
388,Uruguay,2024,3386588
389,Uruguay,2023,3388081
390,Uzbekistan,2024,36361859
391,Uzbekistan,2023,35652307
392,Vanuatu,2024,327777
393,Vanuatu,2023,320409
394,Venezuela,2024,28405543
395,Venezuela,2023,28300854
396,Vietnam,2024,100987686
397,Vietnam,2023,100352192
398,Western Sahara,2024,590506
399,Western Sahara,2023,579729
400,Yemen,2024,40583164
401,Yemen,2023,39390799
402,Zambia,2024,21314956
403,Zambia,2023,20723965
404,Zimbabwe,2024,16634373
405,Zimbabwe,2023,16340822
