,country,year,gdp per capita nominal,gdp per capita ppp
134,Guinea-Bissau,2024,1106.242,3110.196
135,Guyana,2023,21472.309,53584.551
136,Guyana,2024,28920.551,78666.763
137,Haiti,2023,1603.278,3132.982
138,Haiti,2024,2120.413,3038.798
139,Honduras,2023,3267.648,7295.076
140,Honduras,2024,3446.298,7604.664
141,Hong Kong,2023,50586.78,71627.003
142,Hong Kong,2024,53164.778,75406.842
143,Hungary,2023,22131.628,44960.952
144,Hungary,2024,23881.429,46807.165
145,Iceland,2023,83485.11,78250.289
146,Iceland,2024,85786.894,78808.044
147,India,2023,2497.188,10233.445
148,India,2024,2697.563,11111.708
149,Indonesia,2023,4919.949,15553.573
150,Indonesia,2024,4980.722,16542.109
151,Iran,2023,4347.193,18658.141
152,Iran,2024,5012.844,19606.813
153,Iraq,2023,5826.035,14766.838
154,Iraq,2024,5947.315,14756.731
155,Ireland,2023,103465.935,126991.82
156,Ireland,2024,103500.385,127750.161
157,Israel,2023,52643.451,53810.401
158,Israel,2024,53110.949,54446.208
159,Italy,2023,39012.076,59164.515
160,Italy,2024,40286.836,60992.864
161,Jamaica,2023,7032.24,11856.177
162,Jamaica,2024,7486.621,12283.257
163,Japan,2023,33898.99,51399.027
164,Japan,2024,32859.112,53059.36
165,Jordan,2023,4488.417,10455.864
166,Jordan,2024,4682.081,10916.507
167,Kazakhstan,2023,13260.898,39463.307
168,Kazakhstan,2024,14569.9,41366.311
169,Kenya,2023,2110.0,6772.284
170,Kenya,2024,2218.025,7157.32
171,Kiribati,2023,2230.805,3386.612
172,Kiribati,2024,2455.051,3611.797
173,Kuwait,2023,33321.28,50933.256
174,Kuwait,2024,32289.977,49736.258
175,Kyrgyzstan,2023,2018.911,7279.263
176,Kyrgyzstan,2024,2228.777,7772.556
177,Latvia,2023,23175.505,41938.071
178,Latvia,2024,24222.809,43526.926
179,Lebanon,2023,4486.987,12453.967
180,Lesotho,2023,1034.246,3135.253
181,Lesotho,2024,1061.813,3260.421
182,Liberia,2023,808.259,1810.556
183,Liberia,2024,855.186,1902.323
184,Libya,2023,6422.118,14781.326
185,Libya,2024,6482.099,15350.964
186,Lithuania,2023,26997.801,51129.222
187,Lithuania,2024,28712.702,53623.635
188,Luxembourg,2023,129810.315,148693.702
189,Luxembourg,2024,135321.424,151145.794
190,Macao,2023,69079.723,117032.907
191,Macao,2024,77186.16,130416.65
192,Madagascar,2023,530.466,1911.404
193,Madagascar,2024,562.585,1989.82
194,Malawi,2023,557.633,1691.672
195,Malawi,2024,463.733,1713.774
196,Malaysia,2023,12090.597,38693.715
197,Malaysia,2024,13142.345,41021.961
198,Maldives,2023,16541.03,32541.081
199,Maldives,2024,17286.827,34322.076
200,Mali,2023,865.599,2762.817
201,Mali,2024,898.46,2843.339
202,Malta,2023,41204.739,69181.837
203,Malta,2024,44140.016,72941.905
204,Mauritania,2023,2403.679,7874.978
205,Mauritania,2024,2376.285,8233.316
206,Mauritius,2023,11543.601,29511.256
207,Mauritius,2024,12601.486,32062.706
208,Mexico,2023,13641.033,24248.718
209,Mexico,2024,13971.898,24971.323
210,Moldova,2023,6641.582,17320.302
211,Moldova,2024,7368.494,18524.015
212,Mongolia,2023,5796.476,17883.657
213,Mongolia,2024,6665.645,19063.366
214,Montenegro,2023,11696.262,30007.337
215,Montenegro,2024,12802.124,31858.01
216,Morocco,2023,3901.397,10180.615
217,Morocco,2024,4203.553,10615.06
218,Mozambique,2023,618.283,1664.707
219,Mozambique,2024,645.329,1729.561
220,Myanmar,2023,1190.012,5061.102
221,Myanmar,2024,1179.396,5205.768
222,Namibia,2023,4216.111,11349.849
223,Namibia,2024,4409.957,11730.163
224,Nauru,2023,12078.308,10625.931
225,Nauru,2024,12285.096,10829.327
226,Nepal,2023,1316.147,5153.126
227,Nepal,2024,1381.053,5348.118
228,Netherlands,2023,64829.341,79586.245
229,Netherlands,2024,67984.285,81494.628
230,New Zealand,2023,47423.081,52856.074
231,New Zealand,2024,47072.425,52983.046
232,Nicaragua,2023,2672.628,8492.336
233,Nicaragua,2024,2877.647,8949.812
234,Niger,2023,1637.468,6366.706
235,Niger,2024,877.073,6542.585
236,Nigeria,2023,1637.468,6366.706
237,Nigeria,2024,877.073,6542.585
238,North Macedonia,2023,8063.108,25718.08
239,North Macedonia,2024,8658.893,26911.822
240,Norway,2023,87702.851,100153.712
241,Norway,2024,90433.666,103446.04
242,Oman,2023,21062.91,41558.705
243,Oman,2024,20631.44,41651.669
244,Pakistan,2023,1458.013,6530.888
245,Pakistan,2024,1587.604,6715.296
246,Panama,2023,18725.739,39846.203
247,Panama,2024,19369.476,41292.258
248,Papua New Guinea,2023,2518.04,3375.533
249,Papua New Guinea,2024,2543.653,3542.298
250,Paraguay,2023,5685.818,15869.085
251,Paraguay,2024,5869.329,16642.23
252,Peru,2023,7912.956,17024.651
253,Peru,2024,8315.915,17775.18
254,Philippines,2023,3906.229,11281.377
255,Philippines,2024,4153.593,12079.571
256,Poland,2023,22085.808,48799.413
257,Poland,2024,23563.217,51628.831
258,Portugal,2023,27834.773,47226.151
259,Portugal,2024,29341.17,49236.504
260,Puerto Rico,2023,36779.059,47717.536
261,Puerto Rico,2024,37925.934,49594.095
262,Qatar,2023,69540.54,111789.459
263,Qatar,2024,71568.394,115074.541
264,Romania,2023,18424.685,44974.057
265,Romania,2024,20088.859,47203.733
266,Russia,2023,13738.704,44512.053
267,Russia,2024,14952.904,47298.706
268,Rwanda,2023,1044.352,3510.651
269,Rwanda,2024,985.99,3746.809
270,Saint Kitts and Nevis,2023,22106.297,33051.45
271,Saint Kitts and Nevis,2024,24202.606,35275.591
272,Saint Lucia,2023,13358.349,25597.791
273,Saint Lucia,2024,14034.389,27051.657
274,Saint Vincent and the Grenadines,2023,9757.972,18174.58
275,Saint Vincent and the Grenadines,2024,10557.854,19425.032
276,Samoa,2023,4478.194,6316.219
277,Samoa,2024,5048.032,6998.213
278,Sao Tome and Principe,2023,2949.403,6123.667
279,Sao Tome and Principe,2024,3424.836,6205.203
280,Saudi Arabia,2023,32529.678,61932.611
281,Saudi Arabia,2024,32881.339,63117.954
282,Senegal,2023,1703.392,4786.495
283,Senegal,2024,1805.139,5056.15
284,Serbia,2023,11352.113,27183.331
285,Serbia,2024,12513.826,29038.902
286,Seychelles,2023,21455.112,39248.893
287,Seychelles,2024,21289.801,41077.691
288,Sierra Leone,2023,754.283,3359.662
289,Sierra Leone,2024,856.315,3505.131
290,Singapore,2023,84734.277,141553.675
291,Singapore,2024,89369.715,148185.776
292,Slovakia,2023,24468.025,43555.921
293,Slovakia,2024,26290.363,45632.207
294,Slovenia,2023,32673.257,53631.545
295,Slovenia,2024,34544.168,55683.968
296,Solomon Islands,2023,2124.809,2554.413
297,Solomon Islands,2024,2208.925,2626.655
298,Somalia,2023,683.343,1780.276
299,Somalia,2024,771.447,1844.086
300,South Africa,2023,6111.746,15423.596
301,South Africa,2024,6377.068,15723.251
302,South Sudan,2023,478.118,1042.097
303,South Sudan,2024,340.986,762.925
304,Spain,2023,33895.593,52907.924
305,Spain,2024,35788.734,55089.205
306,Sudan,2023,795.679,3158.077
307,Sudan,2024,606.289,2512.814
308,Suriname,2023,5879.596,20614.284
309,Suriname,2024,7599.512,21403.829
310,Sweden,2023,55433.135,70046.951
311,Sweden,2024,57212.541,71730.789
312,Switzerland,2023,101510.023,93054.781
313,Switzerland,2024,106097.643,95836.636
314,Taiwan,2023,32404.32,74408.882
315,Taiwan,2024,33233.799,79031.076
316,Tajikistan,2023,1183.908,5147.945
317,Tajikistan,2024,1275.5,5532.774
318,Tanzania,2023,1249.348,3943.736
319,Tanzania,2024,1224.368,4134.116
320,Thailand,2023,7335.637,23981.207
321,Thailand,2024,7527.382,25211.769
322,Togo,2023,1001.112,3125.219
323,Togo,2024,1051.216,3289.861
324,Tonga,2023,5218.576,7477.138
325,Tonga,2024,5483.29,7810.975
326,Trinidad and Tobago,2023,19718.195,33790.98
327,Trinidad and Tobago,2024,19703.041,34987.234
328,Tunisia,2023,3967.481,13892.913
329,Tunisia,2024,4266.985,14338.485
330,Turkey,2023,13235.882,38390.949
331,Turkey,2024,15665.943,40283.307
332,Turkmenistan,2023,11926.706,25977.504
333,Turkmenistan,2024,12713.274,26881.366
334,Tuvalu,2023,6694.759,6138.265
335,Tuvalu,2024,7190.27,6479.754
336,Uganda,2023,1123.325,3460.145
337,Uganda,2024,1186.529,3641.785
338,Ukraine,2023,5241.316,18269.595
339,Ukraine,2024,5504.886,19603.124
340,United Arab Emirates,2023,48140.644,74713.617
341,United Arab Emirates,2024,49549.588,77251.442
342,United Kingdom,2023,49647.559,60735.429
343,United Kingdom,2024,52423.294,62573.612
344,United States,2023,82715.1,82715.1
345,United States,2024,86601.28,86601.28
346,Uruguay,2023,21656.979,32703.997
347,Uruguay,2024,23053.261,34440.195
348,Uzbekistan,2023,2819.823,10992.112
349,Uzbekistan,2024,3050.82,11596.421
350,Vanuatu,2023,3364.838,2882.803
351,Vanuatu,2024,3387.16,2878.134
352,Venezuela,2023,3737.81,7943.251
353,Venezuela,2024,4018.595,8403.841
354,Vietnam,2023,4324.049,14981.697
355,Vietnam,2024,4649.054,16193.268
356,Yemen,2023,551.953,2012.953
357,Yemen,2024,464.893,1996.036
358,Zambia,2023,1369.129,4110.186
359,Zambia,2024,1226.095,4190.267
360,Zimbabwe,2023,2119.318,4965.194
361,Zimbabwe,2024,2113.811,5070.606
